company,year,revenue,prev_year_revenue,yoy_growth
AAPL,2009,42905.0,,
AAPL,2010,65225.0,42905.0,0.5202
AAPL,2011,108249.0,65225.0,0.6596
AAPL,2012,156508.0,108249.0,0.4458
AAPL,2013,170910.0,156508.0,0.092
AAPL,2014,182795.0,170910.0,0.0695
AAPL,2015,233715.0,182795.0,0.2786
AAPL,2016,215639.0,233715.0,-0.0773
AAPL,2017,229234.0,215639.0,0.063
AAPL,2018,265595.0,229234.0,0.1586
AAPL,2019,260174.0,265595.0,-0.0204
AAPL,2020,274515.0,260174.0,0.0551
AAPL,2021,365817.0,274515.0,0.3326
AAPL,2022,394328.0,365817.0,0.0779
AIG,2009,75447.0,,
AIG,2010,72829.0,75447.0,-0.0347
AIG,2011,65105.0,72829.0,-0.1061
AIG,2012,71214.0,65105.0,0.0938
AIG,2013,68874.0,71214.0,-0.0329
AIG,2014,64406.0,68874.0,-0.0649
AIG,2015,58327.0,64406.0,-0.0944
AIG,2016,52367.0,58327.0,-0.1022
AIG,2017,49520.0,52367.0,-0.0544
AIG,2018,47389.0,49520.0,-0.043
AIG,2019,49746.0,47389.0,0.0497
AIG,2020,43736.0,49746.0,-0.1208
AIG,2021,52057.0,43736.0,0.1903
AIG,2022,56437.0,52057.0,0.0841
AMZN,2009,24509.0,,
AMZN,2010,34204.0,24509.0,0.3956
AMZN,2011,48077.0,34204.0,0.4056
AMZN,2012,61093.0,48077.0,0.2707
AMZN,2013,74452.0,61093.0,0.2187
AMZN,2014,88988.0,74452.0,0.1952
AMZN,2015,107006.0,88988.0,0.2025
AMZN,2016,135987.0,107006.0,0.2708
AMZN,2017,177866.0,135987.0,0.308
AMZN,2018,232887.0,177866.0,0.3093
AMZN,2019,280522.0,232887.0,0.2045
AMZN,2020,386064.0,280522.0,0.3762
AMZN,2021,469822.0,386064.0,0.217
AMZN,2022,513983.0,469822.0,0.094
BCS,2009,45992.04,,
BCS,2010,49030.07,45992.04,0.0661
BCS,2011,48866.82,49030.07,-0.0033
BCS,2012,46036.06,48866.82,-0.0579
BCS,2013,43712.69,46036.06,-0.0505
BCS,2014,41677.15,43712.69,-0.0466
BCS,2015,38919.16,41677.15,-0.0662
BCS,2016,29072.54,38919.16,-0.253
BCS,2017,27162.75,29072.54,-0.0657
BCS,2018,28212.33,27162.75,0.0386
BCS,2019,27621.9,28212.33,-0.0209
BCS,2020,27947.54,27621.9,0.0118
BCS,2021,30169.69,27947.54,0.0795
BCS,2022,30868.08,30169.69,0.0231
GOOG,2009,23651.0,,
GOOG,2010,29321.0,23651.0,0.2397
GOOG,2011,37905.0,29321.0,0.2928
GOOG,2012,46039.0,37905.0,0.2146
GOOG,2013,55519.0,46039.0,0.2059
GOOG,2014,66001.0,55519.0,0.1888
GOOG,2015,74989.0,66001.0,0.1362
GOOG,2016,90272.0,74989.0,0.2038
GOOG,2017,110855.0,90272.0,0.228
GOOG,2018,136819.0,110855.0,0.2342
GOOG,2019,161857.0,136819.0,0.183
GOOG,2020,182527.0,161857.0,0.1277
GOOG,2021,257637.0,182527.0,0.4115
GOOG,2022,282836.0,257637.0,0.0978
INTC,2009,35127.0,,
INTC,2010,43623.0,35127.0,0.2419
INTC,2011,53999.0,43623.0,0.2379
INTC,2012,53341.0,53999.0,-0.0122
INTC,2013,52708.0,53341.0,-0.0119
INTC,2014,55870.0,52708.0,0.06
INTC,2015,55355.0,55870.0,-0.0092
INTC,2016,59387.0,55355.0,0.0728
INTC,2017,62761.0,59387.0,0.0568
INTC,2018,70848.0,62761.0,0.1289
INTC,2019,71965.0,70848.0,0.0158
INTC,2020,77867.0,71965.0,0.082
INTC,2021,79024.0,77867.0,0.0149
INTC,2022,63054.0,79024.0,-0.2021
MCD,2009,22744.7,,
MCD,2010,24074.6,22744.7,0.0585
MCD,2011,27006.0,24074.6,0.1218
MCD,2012,27567.0,27006.0,0.0208
MCD,2013,28105.7,27567.0,0.0195
MCD,2014,27441.3,28105.7,-0.0236
MCD,2015,25413.0,27441.3,-0.0739
MCD,2016,24621.9,25413.0,-0.0311
MCD,2017,22820.4,24621.9,-0.0732
MCD,2018,21257.9,22820.4,-0.0685
MCD,2019,21364.4,21257.9,0.005
MCD,2020,19207.8,21364.4,-0.1009
MCD,2021,23222.9,19207.8,0.209
MCD,2022,23182.6,23222.9,-0.0017
MSFT,2009,58437.0,,
MSFT,2010,62484.0,58437.0,0.0693
MSFT,2011,69943.0,62484.0,0.1194
MSFT,2012,73723.0,69943.0,0.054
MSFT,2013,77849.0,73723.0,0.056
MSFT,2014,86833.0,77849.0,0.1154
MSFT,2015,93580.0,86833.0,0.0777
MSFT,2016,91154.0,93580.0,-0.0259
MSFT,2017,96571.0,91154.0,0.0594
MSFT,2018,110360.0,96571.0,0.1428
MSFT,2019,125843.0,110360.0,0.1403
MSFT,2020,143015.0,125843.0,0.1365
MSFT,2021,168088.0,143015.0,0.1753
MSFT,2022,198270.0,168088.0,0.1796
NVDA,2009,3424.859,,
NVDA,2010,3326.445,3424.859,-0.0287
NVDA,2011,3543.309,3326.445,0.0652
NVDA,2012,3997.93,3543.309,0.1283
NVDA,2013,4280.159,3997.93,0.0706
NVDA,2014,4130.0,4280.159,-0.0351
NVDA,2015,4682.0,4130.0,0.1337
NVDA,2016,5010.0,4682.0,0.0701
NVDA,2017,6910.0,5010.0,0.3792
NVDA,2018,9714.0,6910.0,0.4058
NVDA,2019,11716.0,9714.0,0.2061
NVDA,2020,10918.0,11716.0,-0.0681
NVDA,2021,16675.0,10918.0,0.5273
NVDA,2022,26914.0,16675.0,0.614
PCG,2009,13399.0,,
PCG,2010,13841.0,13399.0,0.033
PCG,2011,14956.0,13841.0,0.0806
PCG,2012,15040.0,14956.0,0.0056
PCG,2013,15598.0,15040.0,0.0371
PCG,2014,17090.0,15598.0,0.0957
PCG,2015,16833.0,17090.0,-0.015
PCG,2016,17666.0,16833.0,0.0495
PCG,2017,17135.0,17666.0,-0.0301
PCG,2018,16759.0,17135.0,-0.0219
PCG,2019,17129.0,16759.0,0.0221
PCG,2020,18469.0,17129.0,0.0782
PCG,2021,20642.0,18469.0,0.1177
PCG,2022,21680.0,20642.0,0.0503
PYPL,2014,8025.0,,
PYPL,2015,9248.0,8025.0,0.1524
PYPL,2016,10842.0,9248.0,0.1724
PYPL,2017,13094.0,10842.0,0.2077
PYPL,2018,15451.0,13094.0,0.18
PYPL,2019,17772.0,15451.0,0.1502
PYPL,2020,21454.0,17772.0,0.2072
PYPL,2021,25371.0,21454.0,0.1826
PYPL,2022,27518.0,25371.0,0.0846
SHLDQ,2009,46770.0,,
SHLDQ,2010,43360.0,46770.0,-0.0729
SHLDQ,2011,42664.0,43360.0,-0.0161
SHLDQ,2012,41567.0,42664.0,-0.0257
SHLDQ,2013,39854.0,41567.0,-0.0412
SHLDQ,2014,36188.0,39854.0,-0.092
SHLDQ,2015,31198.0,36188.0,-0.1379
SHLDQ,2016,25146.0,31198.0,-0.194
SHLDQ,2017,22138.0,25146.0,-0.1196
SHLDQ,2018,16702.0,22138.0,-0.2456
