company,year,revenue,net_income,net_margin,size_rank,profitability_rank
AIG,2009,75447.0,-12244.0,-16.2286,1,11
MSFT,2009,58437.0,14569.0,24.9311,2,2
SHLDQ,2009,46770.0,53.0,0.1133,3,9
BCS,2009,45992.04,5497.87,11.954,4,6
AAPL,2009,42905.0,8235.0,19.1936,5,4
INTC,2009,35127.0,4369.0,12.4377,6,5
AMZN,2009,24509.0,902.0,3.6803,7,8
GOOG,2009,23651.0,6520.0,27.5675,8,1
MCD,2009,22744.7,4551.0,20.0091,9,3
PCG,2009,13399.0,1220.0,9.1052,10,7
NVDA,2009,3424.859,-30.041,-0.8771,11,10
AIG,2010,72829.0,2046.0,2.8093,1,9
AAPL,2010,65225.0,14013.0,21.4841,2,4
MSFT,2010,62484.0,18760.0,30.0237,3,1
BCS,2010,49030.07,7034.11,14.3465,4,6
INTC,2010,43623.0,11464.0,26.2797,5,3
SHLDQ,2010,43360.0,235.0,0.542,6,10
AMZN,2010,34204.0,1152.0,3.368,7,8
GOOG,2010,29321.0,8505.0,29.0065,8,2
MCD,2010,24074.6,4946.3,20.5457,9,5
PCG,2010,13841.0,1099.0,7.9402,10,7
NVDA,2010,3326.445,-67.987,-2.0438,11,11
AAPL,2011,108249.0,25922.0,23.9466,1,5
MSFT,2011,69943.0,23150.0,33.0984,2,1
AIG,2011,65105.0,19810.0,30.4278,3,2
INTC,2011,53999.0,12942.0,23.9671,4,4
BCS,2011,48866.82,6338.98,12.972,5,7
AMZN,2011,48077.0,631.0,1.3125,6,10
SHLDQ,2011,42664.0,133.0,0.3117,7,11
GOOG,2011,37905.0,9737.0,25.6879,8,3
MCD,2011,27006.0,5503.1,20.3773,9,6
PCG,2011,14956.0,844.0,5.6432,10,9
NVDA,2011,3543.309,253.146,7.1443,11,8
AAPL,2012,156508.0,41733.0,26.6651,1,1
MSFT,2012,73723.0,16978.0,23.0294,2,3
AIG,2012,71214.0,3438.0,4.8277,3,8
AMZN,2012,61093.0,-39.0,-0.0638,4,9
INTC,2012,53341.0,11005.0,20.6314,5,4
GOOG,2012,46039.0,10737.0,23.3215,6,2
BCS,2012,46036.06,-1650.089,-3.5843,7,10
SHLDQ,2012,41567.0,-3140.0,-7.5541,8,11
MCD,2012,27567.0,5464.8,19.8237,9,5
PCG,2012,15040.0,816.0,5.4255,10,7
NVDA,2012,3997.93,581.09,14.5348,11,6
AAPL,2013,170910.0,37037.0,21.6705,1,3
MSFT,2013,77849.0,21863.0,28.0839,2,1
AMZN,2013,74452.0,274.0,0.368,3,10
AIG,2013,68874.0,9085.0,13.1908,4,6
GOOG,2013,55519.0,12733.0,22.9345,5,2
INTC,2013,52708.0,9620.0,18.2515,6,5
BCS,2013,43712.69,846.5568,1.9366,7,9
SHLDQ,2013,39854.0,-930.0,-2.3335,8,11
MCD,2013,28105.7,5585.9,19.8746,9,4
PCG,2013,15598.0,814.0,5.2186,10,8
NVDA,2013,4280.159,562.536,13.1429,11,7
AAPL,2014,182795.0,39510.0,21.6144,1,2
AMZN,2014,88988.0,-241.0,-0.2708,2,10
MSFT,2014,86833.0,22074.0,25.4212,3,1
GOOG,2014,66001.0,14136.0,21.4179,4,3
AIG,2014,64406.0,7529.0,11.6899,5,6
INTC,2014,55870.0,11704.0,20.9486,6,4
BCS,2014,41677.15,-197.7716,-0.4745,7,11
SHLDQ,2014,36188.0,-1365.0,-3.772,8,12
MCD,2014,27441.3,4757.8,17.3381,9,5
PCG,2014,17090.0,1436.0,8.4026,10,8
PYPL,2014,8025.0,419.0,5.2212,11,9
NVDA,2014,4130.0,440.0,10.6538,12,7
AAPL,2015,233715.0,53394.0,22.8458,1,1
AMZN,2015,107006.0,596.0,0.557,2,10
MSFT,2015,93580.0,12193.0,13.0295,3,7
GOOG,2015,74989.0,15826.0,21.1044,4,2
AIG,2015,58327.0,2196.0,3.765,5,9
INTC,2015,55355.0,11420.0,20.6305,6,3
BCS,2015,38919.16,-495.396,-1.2729,7,11
SHLDQ,2015,31198.0,-1682.0,-5.3914,8,12
MCD,2015,25413.0,4529.3,17.8228,9,4
PCG,2015,16833.0,874.0,5.1922,10,8
PYPL,2015,9248.0,1228.0,13.2785,11,6
NVDA,2015,4682.0,631.0,13.4771,12,5
AAPL,2016,215639.0,45687.0,21.1868,1,3
AMZN,2016,135987.0,2371.0,1.7435,2,10
MSFT,2016,91154.0,20539.0,22.5322,3,1
GOOG,2016,90272.0,19478.0,21.577,4,2
INTC,2016,59387.0,10316.0,17.3708,5,5
AIG,2016,52367.0,-849.0,-1.6213,6,11
BCS,2016,29072.54,2373.13,8.1628,7,8
SHLDQ,2016,25146.0,-1129.0,-4.4898,8,12
MCD,2016,24621.9,4686.5,19.0339,9,4
PCG,2016,17666.0,1393.0,7.8852,10,9
PYPL,2016,10842.0,1401.0,12.922,11,6
NVDA,2016,5010.0,614.0,12.2555,12,7
AAPL,2017,229234.0,48351.0,21.0924,1,4
AMZN,2017,177866.0,3033.0,1.7052,2,9
GOOG,2017,110855.0,12662.0,11.4221,3,7
MSFT,2017,96571.0,25489.0,26.3941,4,1
INTC,2017,62761.0,9601.0,15.2977,5,5
AIG,2017,49520.0,-6084.0,-12.2859,6,12
BCS,2017,27162.75,-2477.073,-9.1194,7,10
MCD,2017,22820.4,5192.3,22.7529,8,3
SHLDQ,2017,22138.0,-2221.0,-10.0325,9,11
PCG,2017,17135.0,1646.0,9.6061,10,8
PYPL,2017,13094.0,1795.0,13.7086,11,6
NVDA,2017,6910.0,1666.0,24.11,12,2
AAPL,2018,265595.0,59531.0,22.4142,1,5
AMZN,2018,232887.0,10073.0,4.3253,2,9
GOOG,2018,136819.0,30736.0,22.4647,3,4
MSFT,2018,110360.0,16571.0,15.0154,4,6
INTC,2018,70848.0,21053.0,29.7157,5,2
AIG,2018,47389.0,-6.0,-0.0127,6,10
BCS,2018,28212.33,1860.711,6.5954,7,8
MCD,2018,21257.9,5924.3,27.8687,8,3
PCG,2018,16759.0,-6851.0,-40.8795,9,12
SHLDQ,2018,16702.0,-383.0,-2.2931,10,11
PYPL,2018,15451.0,2057.0,13.3131,11,7
NVDA,2018,9714.0,3047.0,31.3671,12,1
AMZN,2019,280522.0,11588.0,4.1309,1,10
AAPL,2019,260174.0,55256.0,21.2381,2,5
GOOG,2019,161857.0,34343.0,21.2181,3,6
MSFT,2019,125843.0,39240.0,31.1817,4,2
INTC,2019,71965.0,21048.0,29.2476,5,3
AIG,2019,49746.0,3326.0,6.686,6,9
BCS,2019,27621.9,4180.571,15.135,7,7
MCD,2019,21364.4,6025.4,28.203,8,4
PYPL,2019,17772.0,2459.0,13.8364,9,8
PCG,2019,17129.0,-7656.0,-44.6961,10,11
NVDA,2019,11716.0,4141.0,35.3448,11,1
AMZN,2020,386064.0,21331.0,5.5252,1,9
AAPL,2020,274515.0,57411.0,20.9136,2,6
GOOG,2020,182527.0,40269.0,22.0619,3,5
MSFT,2020,143015.0,44281.0,30.9625,4,1
INTC,2020,77867.0,20899.0,26.8394,5,2
AIG,2020,43736.0,-5973.0,-13.6569,6,11
BCS,2020,27947.54,1959.384,7.0109,7,8
PYPL,2020,21454.0,4202.0,19.5861,8,7
MCD,2020,19207.8,4730.5,24.628,9,4
PCG,2020,18469.0,-1318.0,-7.1363,10,10
NVDA,2020,10918.0,2796.0,25.6091,11,3
AMZN,2021,469822.0,33364.0,7.1014,1,10
AAPL,2021,365817.0,94680.0,25.8818,2,6
GOOG,2021,257637.0,76033.0,29.5117,3,3
MSFT,2021,168088.0,61271.0,36.4517,4,1
INTC,2021,79024.0,19868.0,25.1417,5,7
AIG,2021,52057.0,9359.0,17.9784,6,8
BCS,2021,30169.69,8766.263,29.0565,7,4
PYPL,2021,25371.0,4169.0,16.4321,8,9
MCD,2021,23222.9,7545.2,32.4903,9,2
PCG,2021,20642.0,-102.0,-0.4941,10,11
NVDA,2021,16675.0,4332.0,25.979,11,5
AMZN,2022,513983.0,-2722.0,-0.5296,1,11
AAPL,2022,394328.0,99803.0,25.3096,2,4
GOOG,2022,282836.0,59972.0,21.2038,3,5
MSFT,2022,198270.0,72738.0,36.6863,4,1
INTC,2022,63054.0,8014.0,12.7097,5,8
AIG,2022,56437.0,10247.0,18.1565,6,7
BCS,2022,30868.08,6212.949,20.1274,7,6
PYPL,2022,27518.0,2419.0,8.7906,8,9
NVDA,2022,26914.0,9752.0,36.2339,9,2
MCD,2022,23182.6,6177.4,26.6467,10,3
PCG,2022,21680.0,1800.0,8.3026,11,10
