company,year,roe,roa,roi,roe_rank
MSFT,2009,36.8295,18.7051,33.6435,1
MCD,2009,32.4286,15.0571,18.5044,2
AAPL,2009,26.0272,17.3365,26.0272,3
BCS,2009,19.5283,0.8282,5.1862,4
GOOG,2009,18.1091,16.1,18.1091,5
AMZN,2009,17.1581,6.5301,17.1581,6
PCG,2009,11.658,2.8734,5.6624,7
INTC,2009,10.4762,8.2286,9.9856,8
SHLDQ,2009,1.0207,0.3907,0.8368,9
NVDA,2009,-1.2545,-0.8966,-1.2412,10
AIG,2009,-45.3061,-1.5123,-6.0641,11
MSFT,2010,40.628,21.7853,36.7023,1
MCD,2010,33.7996,15.4692,18.9287,2
AIG,2010,32.1262,1.9393,6.6699,3
AAPL,2010,29.3214,18.6385,29.3214,4
INTC,2010,23.1924,18.1433,22.2572,5
GOOG,2010,18.3928,14.7016,18.3928,6
AMZN,2010,16.7832,6.1286,13.6736,7
PCG,2010,9.6497,2.4183,4.8681,8
BCS,2010,6.0555,0.2531,1.5241,9
SHLDQ,2010,2.9677,1.1287,2.515,10
NVDA,2010,-2.551,-1.8959,-2.5278,11
MSFT,2011,40.555,21.2964,33.5488,1
MCD,2011,38.242,16.6812,20.7476,2
AAPL,2011,33.8341,22.2753,33.8341,3
INTC,2011,28.1893,18.1977,24.4212,4
AIG,2011,18.4222,3.4107,10.6183,5
GOOG,2011,16.7461,13.4167,15.9281,6
AMZN,2011,8.1346,2.4962,7.8757,7
NVDA,2011,7.9569,5.6314,7.8988,8
PCG,2011,6.9457,1.7246,3.5574,9
BCS,2011,4.6122,0.1923,1.368,10
SHLDQ,2011,1.6137,0.5706,1.2685,11
MCD,2012,35.7326,15.4432,18.8923,1
AAPL,2012,35.3041,23.7033,35.3041,2
MSFT,2012,25.5835,14.0001,22.0276,3
INTC,2012,21.4929,13.0467,17.1047,4
GOOG,2012,16.1096,12.3169,15.4652,5
NVDA,2012,14.0166,10.4646,13.9445,6
PCG,2012,6.2284,1.5825,3.2117,7
AIG,2012,3.7489,0.6742,2.5134,8
BCS,2012,-0.3749,-0.0158,-0.0829,9
AMZN,2012,-0.4761,-0.1198,-0.3459,10
SHLDQ,2012,-71.8728,-14.5924,-48.5301,11
MCD,2013,34.8907,15.2511,18.5335,1
AAPL,2013,29.9776,17.8923,26.3592,2
MSFT,2013,27.6943,15.3499,23.8822,3
INTC,2013,16.5133,10.416,13.4694,4
GOOG,2013,15.0729,11.8644,14.6965,5
NVDA,2013,11.6523,8.7728,11.6066,6
AIG,2013,8.9117,1.6641,6.3093,7
PCG,2013,5.6736,1.4891,3.0317,8
AMZN,2013,2.8114,0.6823,2.118,9
BCS,2013,2.0282,0.0988,0.547,10
SHLDQ,2013,-33.2283,-5.4498,-20.6061,11
MCD,2014,37.0159,13.9006,17.1211,1
AAPL,2014,35.4201,17.042,28.1142,2
MSFT,2014,24.5857,12.8051,19.9893,3
INTC,2014,20.9505,12.7356,17.231,4
GOOG,2014,13.1138,10.5429,12.7185,5
NVDA,2014,9.8734,6.0682,7.5468,6
PCG,2014,9.0625,2.4116,4.6699,7
AIG,2014,7.0606,1.469,5.469,8
PYPL,2014,5.08,1.9118,5.08,9
BCS,2014,1.2811,0.0622,0.3671,10
AMZN,2014,-2.2437,-0.4422,-1.268,11
SHLDQ,2014,-51.1223,-6.1114,-22.2444,12
SHLDQ,2015,191.5344,-13.7277,-84.5005,1
MCD,2015,63.9019,11.9385,14.5123,2
AAPL,2015,44.7355,18.3899,30.9201,3
INTC,2015,18.6953,11.2558,14.0777,4
MSFT,2015,15.2255,6.9885,11.3012,5
NVDA,2015,14.2825,8.7627,10.8494,6
GOOG,2015,13.5859,11.0863,13.3643,7
PYPL,2015,8.9251,4.2519,8.9251,8
PCG,2015,5.2769,1.4043,2.7112,9
AMZN,2015,4.4531,0.9205,2.7579,10
AIG,2015,2.4631,0.4472,1.8601,11
BCS,2015,0.9459,0.0556,0.251,12
SHLDQ,2016,57.6687,-9.9497,-742.1052,1
AAPL,2016,35.6237,14.2024,22.4312,2
MSFT,2016,28.5276,10.6162,18.2481,3
INTC,2016,15.577,9.1029,11.8745,4
GOOG,2016,14.0093,11.6289,13.6237,5
NVDA,2016,13.7391,8.3311,13.4472,6
AMZN,2016,12.2945,2.8429,8.7883,7
PYPL,2016,9.5228,4.2322,9.5228,8
PCG,2016,7.7342,2.0511,4.0887,9
BCS,2016,3.1346,0.1844,0.8387,10
AIG,2016,-0.337,-0.052,-0.2403,11
MCD,2016,-212.6069,15.1061,19.7958,12
