company,year,roe,roa,roe_rank,roa_rank,rank_gap
MSFT,2009,36.8295,18.7051,1,1,0
MCD,2009,32.4286,15.0571,2,4,-2
AAPL,2009,26.0272,17.3365,3,2,1
BCS,2009,19.5283,0.8282,4,8,-4
GOOG,2009,18.1091,16.1,5,3,2
AMZN,2009,17.1581,6.5301,6,6,0
PCG,2009,11.658,2.8734,7,7,0
INTC,2009,10.4762,8.2286,8,5,3
SHLDQ,2009,1.0207,0.3907,9,9,0
NVDA,2009,-1.2545,-0.8966,10,10,0
AIG,2009,-45.3061,-1.5123,11,11,0
MSFT,2010,40.628,21.7853,1,1,0
MCD,2010,33.7996,15.4692,2,4,-2
AIG,2010,32.1262,1.9393,3,8,-5
AAPL,2010,29.3214,18.6385,4,2,2
INTC,2010,23.1924,18.1433,5,3,2
GOOG,2010,18.3928,14.7016,6,5,1
AMZN,2010,16.7832,6.1286,7,6,1
PCG,2010,9.6497,2.4183,8,7,1
BCS,2010,6.0555,0.2531,9,10,-1
SHLDQ,2010,2.9677,1.1287,10,9,1
NVDA,2010,-2.551,-1.8959,11,11,0
MSFT,2011,40.555,21.2964,1,2,-1
MCD,2011,38.242,16.6812,2,4,-2
AAPL,2011,33.8341,22.2753,3,1,2
INTC,2011,28.1893,18.1977,4,3,1
AIG,2011,18.4222,3.4107,5,7,-2
GOOG,2011,16.7461,13.4167,6,5,1
AMZN,2011,8.1346,2.4962,7,8,-1
NVDA,2011,7.9569,5.6314,8,6,2
PCG,2011,6.9457,1.7246,9,9,0
BCS,2011,4.6122,0.1923,10,11,-1
SHLDQ,2011,1.6137,0.5706,11,10,1
MCD,2012,35.7326,15.4432,1,2,-1
AAPL,2012,35.3041,23.7033,2,1,1
MSFT,2012,25.5835,14.0001,3,3,0
INTC,2012,21.4929,13.0467,4,4,0
GOOG,2012,16.1096,12.3169,5,5,0
NVDA,2012,14.0166,10.4646,6,6,0
PCG,2012,6.2284,1.5825,7,7,0
AIG,2012,3.7489,0.6742,8,8,0
BCS,2012,-0.3749,-0.0158,9,9,0
AMZN,2012,-0.4761,-0.1198,10,10,0
SHLDQ,2012,-71.8728,-14.5924,11,11,0
MCD,2013,34.8907,15.2511,1,3,-2
AAPL,2013,29.9776,17.8923,2,1,1
MSFT,2013,27.6943,15.3499,3,2,1
INTC,2013,16.5133,10.416,4,5,-1
GOOG,2013,15.0729,11.8644,5,4,1
NVDA,2013,11.6523,8.7728,6,6,0
AIG,2013,8.9117,1.6641,7,7,0
PCG,2013,5.6736,1.4891,8,8,0
AMZN,2013,2.8114,0.6823,9,9,0
BCS,2013,2.0282,0.0988,10,10,0
SHLDQ,2013,-33.2283,-5.4498,11,11,0
MCD,2014,37.0159,13.9006,1,2,-1
AAPL,2014,35.4201,17.042,2,1,1
MSFT,2014,24.5857,12.8051,3,3,0
INTC,2014,20.9505,12.7356,4,4,0
GOOG,2014,13.1138,10.5429,5,5,0
NVDA,2014,9.8734,6.0682,6,6,0
PCG,2014,9.0625,2.4116,7,7,0
AIG,2014,7.0606,1.469,8,9,-1
PYPL,2014,5.08,1.9118,9,8,1
BCS,2014,1.2811,0.0622,10,10,0
AMZN,2014,-2.2437,-0.4422,11,11,0
SHLDQ,2014,-51.1223,-6.1114,12,12,0
SHLDQ,2015,191.5344,-13.7277,1,12,-11
MCD,2015,63.9019,11.9385,2,2,0
