company,year,debt_equity,prev_debt_equity,de_change
AAPL,2009,0.0,,
AAPL,2010,0.0,0.0,0.0
AAPL,2011,0.0,0.0,0.0
AAPL,2012,0.0,0.0,0.0
AAPL,2013,0.1373,0.0,0.1373
AAPL,2014,0.3164,0.1373,0.1791
AAPL,2015,0.539,0.3164,0.2226
AAPL,2016,0.6786,0.539,0.1396
AAPL,2017,0.863,0.6786,0.1844
AAPL,2018,1.0685,0.863,0.2055
AAPL,2019,1.194,1.0685,0.1255
AAPL,2020,1.7208,1.194,0.5268
AAPL,2021,1.9768,1.7208,0.256
AAPL,2022,2.3695,1.9768,0.3927
AIG,2009,1.1552,,
AIG,2010,0.7548,1.1552,-0.4004
AIG,2011,0.7349,0.7548,-0.0199
AIG,2012,0.4915,0.7349,-0.2434
AIG,2013,0.4125,0.4915,-0.079
AIG,2014,0.291,0.4125,-0.1215
AIG,2015,0.3242,0.291,0.0332
AIG,2016,0.4022,0.3242,0.078
AIG,2017,0.4815,0.4022,0.0793
AIG,2018,0.6027,0.4815,0.1212
AIG,2019,0.5243,0.6027,-0.0784
AIG,2020,0.5586,0.5243,0.0343
AIG,2021,0.4377,0.5586,-0.1209
AIG,2022,0.6435,0.4377,0.2058
AMZN,2009,0.2007,,
AMZN,2010,0.2274,0.2007,0.0267
AMZN,2011,0.0329,0.2274,-0.1945
AMZN,2012,0.3765,0.0329,0.3436
AMZN,2013,0.3274,0.3765,-0.0491
AMZN,2014,0.7695,0.3274,0.4421
AMZN,2015,0.6147,0.7695,-0.1548
AMZN,2016,0.399,0.6147,-0.2157
AMZN,2017,0.893,0.399,0.494
AMZN,2018,0.5395,0.893,-0.3535
AMZN,2019,0.3773,0.5395,-0.1622
AMZN,2020,0.3406,0.3773,-0.0367
AMZN,2021,0.3526,0.3406,0.012
AMZN,2022,0.4598,0.3526,0.1072
BCS,2009,8.5152,,
BCS,2010,9.3328,8.5152,0.8176
BCS,2011,7.6045,9.3328,-1.7283
BCS,2012,7.688,7.6045,0.0835
BCS,2013,6.6208,7.688,-1.0672
BCS,2014,5.0612,6.6208,-1.5596
BCS,2015,3.6646,5.0612,-1.3966
BCS,2016,3.5002,3.6646,-0.1644
BCS,2017,5.2797,3.5002,1.7795
BCS,2018,5.8975,5.2797,0.6178
BCS,2019,5.3348,5.8975,-0.5627
BCS,2020,6.0327,5.3348,0.6979
BCS,2021,6.3396,6.0327,0.3069
BCS,2022,7.1602,6.3396,0.8206
GOOG,2009,0.0,,
GOOG,2010,0.0749,0.0,0.0749
GOOG,2011,0.0723,0.0749,-0.0026
GOOG,2012,0.0772,0.0723,0.0049
GOOG,2013,0.0601,0.0772,-0.0171
GOOG,2014,0.0504,0.0601,-0.0097
GOOG,2015,0.0434,0.0504,-0.007
GOOG,2016,0.0283,0.0434,-0.0151
GOOG,2017,0.026,0.0283,-0.0023
GOOG,2018,0.0226,0.026,-0.0034
GOOG,2019,0.0226,0.0226,0.0
GOOG,2020,0.0626,0.0226,0.04
GOOG,2021,0.0589,0.0626,-0.0037
GOOG,2022,0.0574,0.0589,-0.0015
INTC,2009,0.0533,,
INTC,2010,0.0428,0.0533,-0.0105
INTC,2011,0.1597,0.0428,0.1169
INTC,2012,0.2626,0.1597,0.1029
INTC,2013,0.2308,0.2626,-0.0318
INTC,2014,0.2444,0.2308,0.0136
INTC,2015,0.3711,0.2444,0.1267
INTC,2016,0.3818,0.3711,0.0107
INTC,2017,0.3885,0.3818,0.0067
INTC,2018,0.3535,0.3885,-0.035
INTC,2019,0.3742,0.3535,0.0207
INTC,2020,0.4492,0.3742,0.075
INTC,2021,0.3994,0.4492,-0.0498
INTC,2022,0.4071,0.3994,0.0077
MCD,2009,0.7538,,
MCD,2010,0.7862,0.7538,0.0324
MCD,2011,0.8687,0.7862,0.0825
MCD,2012,0.8914,0.8687,0.0227
MCD,2013,0.8826,0.8914,-0.0088
MCD,2014,1.162,0.8826,0.2794
MCD,2015,3.4033,1.162,2.2413
MCD,2016,-11.775,3.4033,-15.1783
MCD,2017,-9.0381,-11.775,2.7369
MCD,2018,-4.9654,-9.0381,4.0727
MCD,2019,-4.1627,-4.9654,0.8027
MCD,2020,-4.7848,-4.1627,-0.6221
MCD,2021,-7.7424,-4.7848,-2.9576
MCD,2022,-5.9805,-7.7424,1.7619
MSFT,2009,0.1453,,
MSFT,2010,0.1286,0.1453,-0.0167
MSFT,2011,0.2088,0.1286,0.0802
MSFT,2012,0.18,0.2088,-0.0288
MSFT,2013,0.1976,0.18,0.0176
MSFT,2014,0.2522,0.1976,0.0546
