company,year,net_income,operating_cf,cf_minus_ni,cf_to_ni_ratio
BCS,2013,846.5568,-39392.27,-40238.83,-46.5323
BCS,2019,4180.571,-15699.49,-19880.06,-3.7553
AIG,2019,3326.0,-1807.0,-5133.0,-0.5433
AIG,2011,19810.0,-81.0,-19891.0,-0.0041
AIG,2022,10247.0,4207.0,-6040.0,0.4106
AIG,2013,9085.0,5865.0,-3220.0,0.6456
AIG,2014,7529.0,5007.0,-2522.0,0.665
AIG,2021,9359.0,6279.0,-3080.0,0.6709
NVDA,2019,4141.0,3743.0,-398.0,0.9039
SHLDQ,2011,133.0,123.0,-10.0,0.9248
NVDA,2022,9752.0,9108.0,-644.0,0.934
NVDA,2017,1666.0,1672.0,6.0,1.0036
MCD,2017,5192.3,5551.2,358.9,1.0691
AIG,2012,3438.0,3676.0,238.0,1.0692
AAPL,2021,94680.0,104038.0,9358.0,1.0988
NVDA,2018,3047.0,3502.0,455.0,1.1493
MSFT,2011,23150.0,26994.0,3844.0,1.166
MCD,2018,5924.3,6966.7,1042.4,1.176
MCD,2022,6177.4,7386.7,1209.3,1.1958
GOOG,2021,76033.0,91652.0,15619.0,1.2054
MSFT,2023,72361.0,87582.0,15221.0,1.2103
MCD,2021,7545.2,9141.5,1596.3,1.2116
AAPL,2012,41733.0,50856.0,9123.0,1.2186
AAPL,2022,99803.0,122151.0,22348.0,1.2239
MSFT,2022,72738.0,89035.0,16297.0,1.2241
AAPL,2009,8235.0,10159.0,1924.0,1.2336
MSFT,2021,61271.0,76740.0,15469.0,1.2525
AAPL,2019,55256.0,69391.0,14135.0,1.2558
MCD,2009,4551.0,5751.0,1200.0,1.2637
MCD,2012,5464.8,6966.1,1501.3,1.2747
MCD,2013,5585.9,7120.7,1534.8,1.2748
MCD,2010,4946.3,6341.6,1395.3,1.2821
MSFT,2010,18760.0,24073.0,5313.0,1.2832
NVDA,2023,4368.0,5641.0,1273.0,1.2914
MCD,2016,4686.5,6059.6,1373.1,1.293
MCD,2011,5503.1,7150.1,1647.0,1.2993
AAPL,2018,59531.0,77434.0,17903.0,1.3007
GOOG,2010,8505.0,11081.0,2576.0,1.3029
MSFT,2009,14569.0,19037.0,4468.0,1.3067
AIG,2015,2196.0,2877.0,681.0,1.3101
MSFT,2013,21863.0,28833.0,6970.0,1.3188
MCD,2020,4730.5,6265.2,1534.7,1.3244
AAPL,2010,14013.0,18595.0,4582.0,1.327
AAPL,2017,48351.0,64225.0,15874.0,1.3283
MSFT,2019,39240.0,52185.0,12945.0,1.3299
NVDA,2021,4332.0,5822.0,1490.0,1.344
MCD,2019,6025.4,8122.1,2096.7,1.348
MSFT,2020,44281.0,60675.0,16394.0,1.3702
AMZN,2021,33364.0,46327.0,12963.0,1.3885
PYPL,2021,4169.0,5797.0,1628.0,1.3905
INTC,2018,21053.0,29432.0,8379.0,1.398
AAPL,2020,57411.0,80674.0,23263.0,1.4052
PYPL,2017,1795.0,2531.0,736.0,1.41
MCD,2014,4757.8,6730.3,1972.5,1.4146
GOOG,2009,6520.0,9316.0,2796.0,1.4288
NVDA,2015,631.0,906.0,275.0,1.4358
MCD,2015,4529.3,6539.1,2009.8,1.4437
AAPL,2011,25922.0,37529.0,11607.0,1.4478
AAPL,2013,37037.0,53666.0,16629.0,1.449
AAPL,2016,45687.0,66231.0,20544.0,1.4497
INTC,2010,11464.0,16692.0,5228.0,1.456
NVDA,2013,562.536,824.172,261.64,1.4651
GOOG,2013,12733.0,18659.0,5926.0,1.4654
MSFT,2014,22074.0,32502.0,10428.0,1.4724
PYPL,2020,4202.0,6219.0,2017.0,1.48
INTC,2021,19868.0,29456.0,9588.0,1.4826
GOOG,2011,9737.0,14565.0,4828.0,1.4958
AAPL,2014,39510.0,59713.0,20203.0,1.5113
AAPL,2015,53394.0,81266.0,27872.0,1.522
GOOG,2022,59972.0,91495.0,31523.0,1.5256
GOOG,2012,10737.0,16619.0,5882.0,1.5478
MSFT,2017,25489.0,39507.0,14018.0,1.55
GOOG,2018,30736.0,47971.0,17235.0,1.5607
NVDA,2012,581.09,909.156,328.07,1.5646
INTC,2019,21048.0,33145.0,12097.0,1.5747
GOOG,2019,34343.0,54520.0,20177.0,1.5875
GOOG,2020,40269.0,65124.0,24855.0,1.6172
INTC,2011,12942.0,20963.0,8021.0,1.6198
MSFT,2016,20539.0,33325.0,12786.0,1.6225
GOOG,2014,14136.0,23024.0,8888.0,1.6287
PYPL,2019,2459.0,4071.0,1612.0,1.6556
INTC,2015,11420.0,19018.0,7598.0,1.6653
GOOG,2015,15826.0,26572.0,10746.0,1.679
NVDA,2020,2796.0,4761.0,1965.0,1.7028
INTC,2012,11005.0,18884.0,7879.0,1.7159
INTC,2020,20899.0,35864.0,14965.0,1.7161
INTC,2014,11704.0,20418.0,8714.0,1.7445
GOOG,2016,19478.0,36036.0,16558.0,1.8501
MSFT,2012,16978.0,31626.0,14648.0,1.8628
NVDA,2014,440.0,835.0,395.0,1.8977
NVDA,2016,614.0,1175.0,561.0,1.9137
INTC,2022,8014.0,15433.0,7419.0,1.9258
PCG,2022,1800.0,3721.0,1921.0,2.0672
PYPL,2015,1228.0,2546.0,1318.0,2.0733
INTC,2016,10316.0,21808.0,11492.0,2.114
INTC,2013,9620.0,20776.0,11156.0,2.1597
PYPL,2016,1401.0,3158.0,1757.0,2.2541
INTC,2017,9601.0,22110.0,12509.0,2.3029
PYPL,2022,2419.0,5813.0,3394.0,2.4031
MSFT,2015,12193.0,29668.0,17475.0,2.4332
PCG,2009,1220.0,3039.0,1819.0,2.491
INTC,2009,4369.0,11170.0,6801.0,2.5566
PCG,2014,1436.0,3690.0,2254.0,2.5696
MSFT,2018,16571.0,43884.0,27313.0,2.6482
PYPL,2018,2057.0,5480.0,3423.0,2.6641
NVDA,2011,253.146,675.797,422.65,2.6696
