company,year,revenue,ebitda,ebitda_margin,ebitda_margin_rank
GOOG,2009,23651.0,9836.0,41.5881,1
MSFT,2009,58437.0,22925.0,39.2303,2
AIG,2009,75447.0,27765.0,36.8007,3
MCD,2009,22744.7,8057.2,35.4245,4
INTC,2009,35127.0,10763.0,30.6402,5
PCG,2009,13399.0,4051.0,30.2336,6
AAPL,2009,42905.0,12474.0,29.0735,7
AMZN,2009,24509.0,1507.0,6.1488,8
NVDA,2009,3424.859,114.3228,3.338,9
SHLDQ,2009,46770.0,1283.0,2.7432,10
BCS,2009,45992.04,1.0,0.0022,11
INTC,2010,43623.0,20226.0,46.3654,1
MSFT,2010,62484.0,26771.0,42.8446,2
GOOG,2010,29321.0,11777.0,40.1658,3
MCD,2010,24074.6,8749.3,36.3425,4
PCG,2010,13841.0,4213.0,30.4386,5
AAPL,2010,65225.0,19412.0,29.7616,6
AIG,2010,72829.0,21166.0,29.0626,7
AMZN,2010,34204.0,1974.0,5.7713,8
SHLDQ,2010,43360.0,1561.0,3.6001,9
NVDA,2010,3326.445,97.7189,2.9376,10
BCS,2010,49030.07,1.0,0.002,11
INTC,2011,53999.0,23541.0,43.5953,1
MSFT,2011,69943.0,29927.0,42.7877,2
MCD,2011,27006.0,9944.701,36.824,3
GOOG,2011,37905.0,13593.0,35.8607,4
AAPL,2011,108249.0,35604.0,32.8908,5
PCG,2011,14956.0,4157.0,27.7949,6
AIG,2011,65105.0,15225.0,23.3853,7
NVDA,2011,3543.309,442.7361,12.495,8
AMZN,2011,48077.0,1945.0,4.0456,9
SHLDQ,2011,42664.0,1306.0,3.0611,10
BCS,2011,48866.82,1.0,0.002,11
MSFT,2012,73723.0,30923.0,41.9448,1
INTC,2012,53341.0,22160.0,41.544,2
AAPL,2012,156508.0,58518.0,37.3898,3
MCD,2012,27567.0,10093.1,36.613,4
GOOG,2012,46039.0,16796.0,36.4821,5
AIG,2012,71214.0,19327.0,27.1393,6
PCG,2012,15040.0,3965.0,26.363,7
NVDA,2012,3997.93,852.5038,21.3236,8
AMZN,2012,61093.0,2835.0,4.6405,9
BCS,2012,46036.06,1.0,0.0022,10
SHLDQ,2012,41567.0,-648.0,-1.5589,11
MSFT,2013,77849.0,30519.0,39.2028,1
INTC,2013,52708.0,20323.0,38.5577,2
MCD,2013,28105.7,10349.4,36.8231,3
GOOG,2013,55519.0,19342.0,34.8385,4
AAPL,2013,170910.0,55756.0,32.623,5
PCG,2013,15598.0,3839.0,24.6121,6
AIG,2013,68874.0,16922.0,24.5695,7
NVDA,2013,4280.159,874.4742,20.4309,8
AMZN,2013,74452.0,3998.0,5.3699,9
BCS,2013,43712.69,1.0,0.0023,10
SHLDQ,2013,39854.0,-8.0,-0.0201,11
INTC,2014,55870.0,23896.0,42.7707,1
MSFT,2014,86833.0,32971.0,37.9706,2
MCD,2014,27441.3,9593.701,34.9608,3
AAPL,2014,182795.0,60449.0,33.0693,4
GOOG,2014,66001.0,21475.0,32.5374,5
PCG,2014,17090.0,4883.0,28.5723,6
AIG,2014,64406.0,16752.0,26.01,7
PYPL,2014,8025.0,1784.0,22.2305,8
NVDA,2014,4130.0,740.0,17.9177,9
AMZN,2014,88988.0,4924.0,5.5333,10
BCS,2014,41677.15,1.0,0.0024,11
SHLDQ,2014,36188.0,-195.0,-0.5389,12
INTC,2015,55355.0,22713.0,41.0315,1
AAPL,2015,233715.0,82487.0,35.2938,2
MCD,2015,25413.0,8701.2,34.2392,3
MSFT,2015,93580.0,31616.0,33.785,4
GOOG,2015,74989.0,24423.0,32.5688,5
PCG,2015,16833.0,4120.0,24.4757,6
PYPL,2015,9248.0,2069.0,22.3724,7
NVDA,2015,4682.0,1007.0,21.5079,8
AIG,2015,58327.0,9958.0,17.0727,9
AMZN,2015,107006.0,8514.0,7.9566,10
BCS,2015,38919.16,1.0,0.0026,11
SHLDQ,2015,31198.0,-889.0,-2.8495,12
MCD,2016,24621.9,9261.002,37.6129,1
MSFT,2016,91154.0,33330.0,36.5645,2
INTC,2016,59387.0,20923.0,35.2316,3
GOOG,2016,90272.0,29860.0,33.0778,4
AAPL,2016,215639.0,70529.0,32.707,5
PCG,2016,17666.0,4835.0,27.369,6
PYPL,2016,10842.0,2310.0,21.306,7
NVDA,2016,5010.0,973.0,19.4212,8
AIG,2016,52367.0,4805.0,9.1756,9
AMZN,2016,135987.0,12302.0,9.0465,10
BCS,2016,29072.54,1.0,0.0034,11
SHLDQ,2016,25146.0,-570.0,-2.2668,12
MCD,2017,22820.4,10916.1,47.8348,1
INTC,2017,62761.0,26179.0,41.7122,2
MSFT,2017,96571.0,37803.0,39.1453,3
PCG,2017,17135.0,5759.0,33.6096,4
AAPL,2017,229234.0,71501.0,31.1913,5
NVDA,2017,6910.0,2121.0,30.6946,6
GOOG,2017,110855.0,33093.0,29.8525,7
PYPL,2017,13094.0,2932.0,22.3919,8
AIG,2017,49520.0,6435.0,12.9947,9
AMZN,2017,177866.0,15584.0,8.7617,10
BCS,2017,27162.75,1.0,0.0037,11
SHLDQ,2017,22138.0,-1610.0,-7.2726,12
MCD,2018,21257.9,10304.6,48.4742,1
INTC,2018,70848.0,32401.0,45.7331,2
MSFT,2018,110360.0,45319.0,41.0647,3
NVDA,2018,9714.0,3409.0,35.0937,4
AAPL,2018,265595.0,81801.0,30.7991,5
GOOG,2018,136819.0,36559.0,26.7207,6
PYPL,2018,15451.0,2970.0,19.2221,7
AIG,2018,47389.0,6897.0,14.554,8
AMZN,2018,232887.0,27762.0,11.9208,9
BCS,2018,28212.33,1.0,0.0035,10
SHLDQ,2018,16702.0,-52.0,-0.3113,11
PCG,2018,16759.0,-6664.0,-39.7637,12
MCD,2019,21364.4,10687.7,50.0257,1
INTC,2019,71965.0,32861.0,45.6625,2
MSFT,2019,125843.0,54641.0,43.42,3
NVDA,2019,11716.0,4066.0,34.7047,4
AAPL,2019,260174.0,76477.0,29.3946,5
GOOG,2019,161857.0,46012.0,28.4276,6
AIG,2019,49746.0,11817.0,23.7547,7
PYPL,2019,17772.0,3631.0,20.431,8
AMZN,2019,280522.0,36330.0,12.9509,9
BCS,2019,27621.9,1.0,0.0036,10
PCG,2019,17129.0,-6860.0,-40.049,11
MCD,2020,19207.8,9075.4,47.2485,1
