company,year,market_cap,net_income,market_cap_to_ni
SHLDQ,2009,8.98,53.0,169.43
AMZN,2009,58.24,902.0,64.57
GOOG,2009,195.27,6520.0,29.95
INTC,2009,112.65,4369.0,25.78
AAPL,2009,189.8,8235.0,23.05
MSFT,2009,270.64,14569.0,18.58
MCD,2009,81.1,4551.0,17.82
PCG,2009,18.76,1220.0,15.38
BCS,2009,36.84,5497.87,6.7
AMZN,2010,80.79,1152.0,70.13
SHLDQ,2010,8.22,235.0,34.98
GOOG,2010,188.54,8505.0,22.17
AAPL,2010,296.89,14013.0,21.19
MCD,2010,102.66,4946.3,20.75
PCG,2010,16.73,1099.0,15.22
MSFT,2010,238.78,18760.0,12.73
INTC,2010,117.31,11464.0,10.23
BCS,2010,47.13,7034.11,6.7
AIG,2010,7.79,2046.0,3.81
AMZN,2011,78.72,631.0,124.75
NVDA,2011,8.46,253.146,33.42
SHLDQ,2011,3.39,133.0,25.49
GOOG,2011,207.65,9737.0,21.33
PCG,2011,17.14,844.0,20.31
MCD,2011,88.56,5503.1,16.09
AAPL,2011,376.4,25922.0,14.52
INTC,2011,123.48,12942.0,9.54
MSFT,2011,218.38,23150.0,9.43
BCS,2011,33.47,6338.98,5.28
AIG,2011,44.06,19810.0,2.22
PCG,2012,18.1,816.0,22.18
GOOG,2012,230.54,10737.0,21.47
MCD,2012,96.55,5464.8,17.67
AIG,2012,52.11,3438.0,15.16
MSFT,2012,224.8,16978.0,13.24
NVDA,2012,7.66,581.09,13.18
AAPL,2012,500.61,41733.0,12.0
INTC,2012,102.61,11005.0,9.32
AMZN,2013,182.54,274.0,666.2
BCS,2013,55.49,846.5568,65.55
PCG,2013,25.29,814.0,31.07
GOOG,2013,371.53,12733.0,29.18
MCD,2013,91.19,5585.9,16.33
NVDA,2013,9.11,562.536,16.19
MSFT,2013,312.3,21863.0,14.28
AAPL,2013,504.79,37037.0,13.63
INTC,2013,129.02,9620.0,13.41
AIG,2013,75.16,9085.0,8.27
GOOG,2014,354.75,14136.0,25.1
NVDA,2014,10.9,440.0,24.77
MCD,2014,108.48,4757.8,22.8
PCG,2014,26.09,1436.0,18.17
MSFT,2014,382.88,22074.0,17.35
AAPL,2014,647.36,39510.0,16.38
INTC,2014,175.46,11704.0,14.99
AIG,2014,78.41,7529.0,10.41
PYPL,2014,,419.0,
AMZN,2015,316.83,596.0,531.59
MSFT,2015,443.17,12193.0,36.35
PYPL,2015,44.23,1228.0,36.02
PCG,2015,30.73,874.0,35.16
AIG,2015,76.66,2196.0,34.91
GOOG,2015,521.67,15826.0,32.96
NVDA,2015,17.73,631.0,28.1
MCD,2015,101.08,4529.3,22.32
INTC,2015,162.57,11420.0,14.24
AAPL,2015,586.86,53394.0,10.99
AMZN,2016,356.31,2371.0,150.28
NVDA,2016,57.53,614.0,93.7
PYPL,2016,47.63,1401.0,34.0
MCD,2016,137.21,4686.5,29.28
GOOG,2016,530.84,19478.0,27.25
MSFT,2016,483.16,20539.0,23.52
BCS,2016,46.21,2373.13,19.47
INTC,2016,171.88,10316.0,16.66
PCG,2016,23.06,1393.0,16.55
AAPL,2016,617.59,45687.0,13.52
AMZN,2017,563.54,3033.0,185.8
NVDA,2017,117.26,1666.0,70.38
GOOG,2017,726.47,12662.0,57.37
PYPL,2017,88.48,1795.0,49.29
MCD,2017,136.89,5192.3,26.36
MSFT,2017,659.91,25489.0,25.89
INTC,2017,216.03,9601.0,22.5
AAPL,2017,868.87,48351.0,17.97
PCG,2017,12.32,1646.0,7.48
AMZN,2018,734.42,10073.0,72.91
PYPL,2018,99.09,2057.0,48.17
MSFT,2018,779.67,16571.0,47.05
NVDA,2018,81.44,3047.0,26.73
MCD,2018,148.82,5924.3,25.12
GOOG,2018,719.63,30736.0,23.41
BCS,2018,31.68,1860.711,17.03
AAPL,2018,748.54,59531.0,12.57
INTC,2018,214.19,21053.0,10.17
AMZN,2019,916.15,11588.0,79.06
PYPL,2019,127.01,2459.0,51.65
NVDA,2019,144.0,4141.0,34.77
MSFT,2019,1203.06,39240.0,30.66
GOOG,2019,917.82,34343.0,26.73
MCD,2019,159.89,6025.4,26.54
AAPL,2019,1304.76,55256.0,23.61
AIG,2019,44.65,3326.0,13.42
INTC,2019,260.35,21048.0,12.37
BCS,2019,40.78,4180.571,9.75
NVDA,2020,323.24,2796.0,115.61
AMZN,2020,1634.16,21331.0,76.61
PYPL,2020,274.41,4202.0,65.3
MCD,2020,200.31,4730.5,42.34
AAPL,2020,2255.97,57411.0,39.3
MSFT,2020,1681.61,44281.0,37.98
GOOG,2020,1179.4,40269.0,29.29
BCS,2020,34.66,1959.384,17.69
INTC,2020,104.16,20899.0,4.98
NVDA,2021,735.86,4332.0,169.87
PYPL,2021,221.57,4169.0,53.15
AMZN,2021,1691.0,33364.0,50.68
MSFT,2021,2525.08,61271.0,41.21
AAPL,2021,2913.28,94680.0,30.77
MCD,2021,193.02,7545.2,25.58
GOOG,2021,1910.26,76033.0,25.12
INTC,2021,209.45,19868.0,10.54
AIG,2021,47.21,9359.0,5.04
BCS,2021,43.6,8766.263,4.97
NVDA,2022,359.5,9752.0,36.86
PYPL,2022,81.19,2419.0,33.56
MCD,2022,186.39,6177.4,30.17
MSFT,2022,1787.73,72738.0,24.58
PCG,2022,41.28,1800.0,22.93
AAPL,2022,2066.94,99803.0,20.71
GOOG,2022,1144.35,59972.0,19.08
INTC,2022,109.08,8014.0,13.61
BCS,2022,32.53,6212.949,5.24
AIG,2022,46.99,10247.0,4.59
