company,year,revenue,inflation_rate,nominal_growth_pct,real_growth_pct
AAPL,2009,42905.0,-0.3555,,
AAPL,2010,65225.0,1.64,52.0219,50.3819
AAPL,2011,108249.0,3.1568,65.9624,62.8056
AAPL,2012,156508.0,2.0693,44.5815,42.5122
AAPL,2013,170910.0,1.4648,9.2021,7.7373
AAPL,2014,182795.0,1.6222,6.954,5.3318
AAPL,2015,233715.0,0.1186,27.8563,27.7377
AAPL,2016,215639.0,1.2616,-7.7342,-8.9958
AAPL,2017,229234.0,2.1301,6.3045,4.1744
AAPL,2018,265595.0,2.4426,15.862,13.4194
AAPL,2019,260174.0,1.8122,-2.0411,-3.8533
AAPL,2020,274515.0,1.2336,5.5121,4.2785
AAPL,2021,365817.0,4.6979,33.2594,28.5615
AAPL,2022,394328.0,8.0028,7.7938,-0.209
AIG,2009,75447.0,-0.3555,,
AIG,2010,72829.0,1.64,-3.47,-5.11
AIG,2011,65105.0,3.1568,-10.6057,-13.7625
AIG,2012,71214.0,2.0693,9.3833,7.314
AIG,2013,68874.0,1.4648,-3.2859,-4.7507
AIG,2014,64406.0,1.6222,-6.4872,-8.1094
AIG,2015,58327.0,0.1186,-9.4386,-9.5572
AIG,2016,52367.0,1.2616,-10.2183,-11.4799
AIG,2017,49520.0,2.1301,-5.4366,-7.5667
AIG,2018,47389.0,2.4426,-4.3033,-6.7459
AIG,2019,49746.0,1.8122,4.9737,3.1615
AIG,2020,43736.0,1.2336,-12.0814,-13.315
AIG,2021,52057.0,4.6979,19.0255,14.3276
AIG,2022,56437.0,8.0028,8.4139,0.4111
AMZN,2009,24509.0,-0.3555,,
AMZN,2010,34204.0,1.64,39.5569,37.9169
AMZN,2011,48077.0,3.1568,40.5596,37.4028
AMZN,2012,61093.0,2.0693,27.0732,25.0039
AMZN,2013,74452.0,1.4648,21.8667,20.4019
AMZN,2014,88988.0,1.6222,19.524,17.9018
AMZN,2015,107006.0,0.1186,20.2477,20.1291
AMZN,2016,135987.0,1.2616,27.0835,25.8219
AMZN,2017,177866.0,2.1301,30.7963,28.6662
AMZN,2018,232887.0,2.4426,30.934,28.4914
AMZN,2019,280522.0,1.8122,20.4541,18.6419
AMZN,2020,386064.0,1.2336,37.6234,36.3898
AMZN,2021,469822.0,4.6979,21.6954,16.9975
AMZN,2022,513983.0,8.0028,9.3995,1.3967
BCS,2009,45992.04,-0.3555,,
BCS,2010,49030.07,1.64,6.6056,4.9656
BCS,2011,48866.82,3.1568,-0.333,-3.4898
BCS,2012,46036.06,2.0693,-5.7928,-7.8621
BCS,2013,43712.69,1.4648,-5.0468,-6.5116
BCS,2014,41677.15,1.6222,-4.6566,-6.2788
BCS,2015,38919.16,0.1186,-6.6175,-6.7361
BCS,2016,29072.54,1.2616,-25.3002,-26.5618
BCS,2017,27162.75,2.1301,-6.5691,-8.6992
BCS,2018,28212.33,2.4426,3.864,1.4214
BCS,2019,27621.9,1.8122,-2.0928,-3.905
BCS,2020,27947.54,1.2336,1.1789,-0.0547
BCS,2021,30169.69,4.6979,7.9511,3.2532
BCS,2022,30868.08,8.0028,2.3149,-5.6879
GOOG,2009,23651.0,-0.3555,,
GOOG,2010,29321.0,1.64,23.9736,22.3336
GOOG,2011,37905.0,3.1568,29.2759,26.1191
GOOG,2012,46039.0,2.0693,21.4589,19.3896
GOOG,2013,55519.0,1.4648,20.5912,19.1264
GOOG,2014,66001.0,1.6222,18.88,17.2578
GOOG,2015,74989.0,0.1186,13.618,13.4994
GOOG,2016,90272.0,1.2616,20.3803,19.1187
GOOG,2017,110855.0,2.1301,22.8011,20.671
GOOG,2018,136819.0,2.4426,23.4216,20.979
GOOG,2019,161857.0,1.8122,18.3001,16.4879
GOOG,2020,182527.0,1.2336,12.7705,11.5369
GOOG,2021,257637.0,4.6979,41.1501,36.4522
GOOG,2022,282836.0,8.0028,9.7808,1.778
INTC,2009,35127.0,-0.3555,,
INTC,2010,43623.0,1.64,24.1865,22.5465
INTC,2011,53999.0,3.1568,23.7856,20.6288
INTC,2012,53341.0,2.0693,-1.2185,-3.2878
INTC,2013,52708.0,1.4648,-1.1867,-2.6515
INTC,2014,55870.0,1.6222,5.9991,4.3769
INTC,2015,55355.0,0.1186,-0.9218,-1.0404
INTC,2016,59387.0,1.2616,7.2839,6.0223
INTC,2017,62761.0,2.1301,5.6814,3.5513
INTC,2018,70848.0,2.4426,12.8854,10.4428
INTC,2019,71965.0,1.8122,1.5766,-0.2356
INTC,2020,77867.0,1.2336,8.2012,6.9676
INTC,2021,79024.0,4.6979,1.4859,-3.212
INTC,2022,63054.0,8.0028,-20.2091,-28.2119
MCD,2009,22744.7,-0.3555,,
MCD,2010,24074.6,1.64,5.8471,4.2071
MCD,2011,27006.0,3.1568,12.1763,9.0195
MCD,2012,27567.0,2.0693,2.0773,0.008
MCD,2013,28105.7,1.4648,1.9541,0.4893
MCD,2014,27441.3,1.6222,-2.3639,-3.9861
MCD,2015,25413.0,0.1186,-7.3914,-7.51
MCD,2016,24621.9,1.2616,-3.113,-4.3746
MCD,2017,22820.4,2.1301,-7.3167,-9.4468
MCD,2018,21257.9,2.4426,-6.8469,-9.2895
MCD,2019,21364.4,1.8122,0.501,-1.3112
MCD,2020,19207.8,1.2336,-10.0944,-11.328
MCD,2021,23222.9,4.6979,20.9035,16.2056
MCD,2022,23182.6,8.0028,-0.1735,-8.1763
MSFT,2009,58437.0,-0.3555,,
MSFT,2010,62484.0,1.64,6.9254,5.2854
MSFT,2011,69943.0,3.1568,11.9375,8.7807
MSFT,2012,73723.0,2.0693,5.4044,3.3351
MSFT,2013,77849.0,1.4648,5.5966,4.1318
MSFT,2014,86833.0,1.6222,11.5403,9.9181
MSFT,2015,93580.0,0.1186,7.7701,7.6515
MSFT,2016,91154.0,1.2616,-2.5924,-3.854
MSFT,2017,96571.0,2.1301,5.9427,3.8126
MSFT,2018,110360.0,2.4426,14.2786,11.836
MSFT,2019,125843.0,1.8122,14.0295,12.2173
MSFT,2020,143015.0,1.2336,13.6456,12.412
MSFT,2021,168088.0,4.6979,17.5317,12.8338
MSFT,2022,198270.0,8.0028,17.9561,9.9533
MSFT,2023,211915.0,3.7,6.882,3.182
NVDA,2009,3424.859,-0.3555,,
NVDA,2010,3326.445,1.64,-2.8735,-4.5135
NVDA,2011,3543.309,3.1568,6.5194,3.3626
NVDA,2012,3997.93,2.0693,12.8304,10.7611
NVDA,2013,4280.159,1.4648,7.0594,5.5946
NVDA,2014,4130.0,1.6222,-3.5083,-5.1305
NVDA,2015,4682.0,0.1186,13.3656,13.247
NVDA,2016,5010.0,1.2616,7.0056,5.744
NVDA,2017,6910.0,2.1301,37.9242,35.7941
NVDA,2018,9714.0,2.4426,40.5789,38.1363
NVDA,2019,11716.0,1.8122,20.6094,18.7972
NVDA,2020,10918.0,1.2336,-6.8112,-8.0448
NVDA,2021,16675.0,4.6979,52.7294,48.0315
NVDA,2022,26914.0,8.0028,61.4033,53.4005
NVDA,2023,26974.0,3.7,0.2229,-3.4771
PCG,2009,13399.0,-0.3555,,
PCG,2010,13841.0,1.64,3.2988,1.6588
PCG,2011,14956.0,3.1568,8.0558,4.899
PCG,2012,15040.0,2.0693,0.5616,-1.5077
PCG,2013,15598.0,1.4648,3.7101,2.2453
PCG,2014,17090.0,1.6222,9.5653,7.9431
PCG,2015,16833.0,0.1186,-1.5038,-1.6224
PCG,2016,17666.0,1.2616,4.9486,3.687
PCG,2017,17135.0,2.1301,-3.0058,-5.1359
PCG,2018,16759.0,2.4426,-2.1943,-4.6369
PCG,2019,17129.0,1.8122,2.2078,0.3956
PCG,2020,18469.0,1.2336,7.823,6.5894
PCG,2021,20642.0,4.6979,11.7657,7.0678
PCG,2022,21680.0,8.0028,5.0286,-2.9742
PYPL,2014,8025.0,1.6222,,
PYPL,2015,9248.0,0.1186,15.2399,15.1213
PYPL,2016,10842.0,1.2616,17.2362,15.9746
PYPL,2017,13094.0,2.1301,20.7711,18.641
PYPL,2018,15451.0,2.4426,18.0006,15.558
PYPL,2019,17772.0,1.8122,15.0217,13.2095
PYPL,2020,21454.0,1.2336,20.718,19.4844
