company,year,roe,roa,cf_to_ni_ratio,roe_rank,roa_rank,cf_quality_rank,composite_score,composite_rank
MSFT,2009,36.8295,18.7051,1.3067,1,1,7,3.0,1
MCD,2009,32.4286,15.0571,1.2637,2,4,8,4.67,2
AAPL,2009,26.0272,17.3365,1.2336,3,2,9,4.67,2
BCS,2009,19.5283,0.8282,11.918,4,8,2,4.67,2
GOOG,2009,18.1091,16.1,1.4288,5,3,6,4.67,2
AMZN,2009,17.1581,6.5301,3.6508,6,6,3,5.0,6
INTC,2009,10.4762,8.2286,2.5566,8,5,4,5.67,7
PCG,2009,11.658,2.8734,2.491,7,7,5,6.33,8
SHLDQ,2009,1.0207,0.3907,18.717,9,9,1,6.33,8
MSFT,2010,40.628,21.7853,1.2832,1,1,9,3.67,1
AIG,2010,32.1262,1.9393,8.1119,3,8,1,4.0,2
AAPL,2010,29.3214,18.6385,1.327,4,2,7,4.33,3
INTC,2010,23.1924,18.1433,1.456,5,3,6,4.67,4
MCD,2010,33.7996,15.4692,1.2821,2,4,10,5.33,5
AMZN,2010,16.7832,6.1286,3.0339,7,6,4,5.67,6
GOOG,2010,18.3928,14.7016,1.3029,6,5,8,6.33,7
PCG,2010,9.6497,2.4183,2.9172,8,7,5,6.67,8
SHLDQ,2010,2.9677,1.1287,6.4128,10,9,2,7.0,9
BCS,2010,6.0555,0.2531,4.1077,9,10,3,7.33,10
AAPL,2011,33.8341,22.2753,1.4478,3,1,7,3.67,1
MSFT,2011,40.555,21.2964,1.166,1,2,9,4.0,2
INTC,2011,28.1893,18.1977,1.6198,4,3,5,4.0,2
MCD,2011,38.242,16.6812,1.2993,2,4,8,4.67,4
GOOG,2011,16.7461,13.4167,1.4958,6,5,6,5.67,5
AMZN,2011,8.1346,2.4962,6.1854,7,8,2,5.67,5
NVDA,2011,7.9569,5.6314,2.6696,8,6,4,6.0,7
PCG,2011,6.9457,1.7246,4.4301,9,9,3,7.0,8
BCS,2011,4.6122,0.1923,7.3599,10,11,1,7.33,9
AIG,2011,18.4222,3.4107,-0.0041,5,7,11,7.67,10
SHLDQ,2011,1.6137,0.5706,0.9248,11,10,10,10.33,11
MSFT,2012,25.5835,14.0001,1.8628,3,3,2,2.67,1
MCD,2012,35.7326,15.4432,1.2747,1,2,6,3.0,2
AAPL,2012,35.3041,23.7033,1.2186,2,1,7,3.33,3
INTC,2012,21.4929,13.0467,1.7159,4,4,3,3.67,4
GOOG,2012,16.1096,12.3169,1.5478,5,5,5,5.0,5
PCG,2012,6.2284,1.5825,5.9828,7,7,1,5.0,5
NVDA,2012,14.0166,10.4646,1.5646,6,6,4,5.33,7
AIG,2012,3.7489,0.6742,1.0692,8,8,8,8.0,8
AAPL,2013,29.9776,17.8923,1.449,2,1,6,3.0,1
MCD,2013,34.8907,15.2511,1.2748,1,3,8,4.0,2
MSFT,2013,27.6943,15.3499,1.3188,3,2,7,4.0,2
INTC,2013,16.5133,10.416,2.1597,4,5,3,4.0,2
GOOG,2013,15.0729,11.8644,1.4654,5,4,4,4.33,5
NVDA,2013,11.6523,8.7728,1.4651,6,6,5,5.67,6
PCG,2013,5.6736,1.4891,4.2101,8,8,2,6.0,7
AMZN,2013,2.8114,0.6823,19.9818,9,9,1,6.33,8
AIG,2013,8.9117,1.6641,0.6456,7,7,9,7.67,9
BCS,2013,2.0282,0.0988,-46.5323,10,10,10,10.0,10
AAPL,2014,35.4201,17.042,1.5113,2,1,6,3.0,1
MCD,2014,37.0159,13.9006,1.4146,1,2,8,3.67,2
INTC,2014,20.9505,12.7356,1.7445,4,4,4,4.0,3
MSFT,2014,24.5857,12.8051,1.4724,3,3,7,4.33,4
GOOG,2014,13.1138,10.5429,1.6287,5,5,5,5.0,5
NVDA,2014,9.8734,6.0682,1.8977,6,6,3,5.0,5
PCG,2014,9.0625,2.4116,2.5696,7,7,2,5.33,7
PYPL,2014,5.08,1.9118,5.2983,9,8,1,6.0,8
AIG,2014,7.0606,1.469,0.665,8,9,9,8.67,9
AAPL,2015,44.7355,18.3899,1.522,2,1,7,3.33,1
MCD,2015,63.9019,11.9385,1.4437,1,2,8,3.67,2
INTC,2015,18.6953,11.2558,1.6653,3,3,6,4.0,3
MSFT,2015,15.2255,6.9885,2.4332,4,6,3,4.33,4
GOOG,2015,13.5859,11.0863,1.679,6,4,5,5.0,5
PYPL,2015,8.9251,4.2519,2.0733,7,7,4,6.0,6
PCG,2015,5.2769,1.4043,4.3249,8,8,2,6.0,6
NVDA,2015,14.2825,8.7627,1.4358,5,5,9,6.33,8
AMZN,2015,4.4531,0.9205,20.1997,9,9,1,6.33,8
AIG,2015,2.4631,0.4472,1.3101,10,10,10,10.0,10
AAPL,2016,35.6237,14.2024,1.4497,1,2,9,4.0,1
INTC,2016,15.577,9.1029,2.114,3,5,5,4.33,2
MSFT,2016,28.5276,10.6162,1.6225,2,4,8,4.67,3
GOOG,2016,14.0093,11.6289,1.8501,4,3,7,4.67,3
AMZN,2016,12.2945,2.8429,7.2556,6,8,1,5.0,5
NVDA,2016,13.7391,8.3311,1.9137,5,6,6,5.67,6
PYPL,2016,9.5228,4.2322,2.2541,7,7,4,6.0,7
PCG,2016,7.7342,2.0511,3.1651,8,9,3,6.67,8
BCS,2016,3.1346,0.1844,6.4455,9,10,2,7.0,9
MCD,2016,-212.6069,15.1061,1.293,10,1,10,7.0,9
AAPL,2017,36.0702,12.8826,1.3283,1,3,7,3.67,1
MSFT,2017,29.0602,10.1829,1.55,2,4,5,3.67,1
NVDA,2017,28.9136,16.9292,1.0036,3,1,9,4.33,3
INTC,2017,13.9107,7.7899,2.3029,4,5,4,4.33,3
